2026-06-25 13:49:08.520215 - INFO - Сервер 172.24.6.21 - Создание клиента Redfish для https://172.24.6.21 (использование SSO)
2026-06-25 13:49:08.520671 - INFO - Сервер 172.24.6.21 - Создание клиента Redfish для https://172.24.6.21 (использование SSO)
2026-06-25 13:49:08.523439 - INFO - Сервер 172.24.6.21 - Создание клиента Redfish для https://172.24.6.21 (использование SSO)
2026-06-25 13:49:09.348525 - INFO - Сервер 172.24.6.21 - Клиент успешно создан
2026-06-25 13:49:09.349001 - INFO - Сервер 172.24.6.21 - Проверка валидности SSO токена в iLO...
2026-06-25 13:49:09.355260 - INFO - Сервер 172.24.6.21 - Клиент успешно создан
2026-06-25 13:49:09.365924 - INFO - Сервер 172.24.6.21 - Проверка валидности SSO токена в iLO...
2026-06-25 13:49:09.379808 - INFO - Сервер 172.24.6.21 - Клиент успешно создан
2026-06-25 13:49:09.380229 - INFO - Сервер 172.24.6.21 - Проверка валидности SSO токена в iLO...
2026-06-25 13:49:09.395619 - INFO - Сервер 172.24.6.21 - SSO токен успешно валидирован iLO
2026-06-25 13:49:09.396785 - INFO - Сервер 172.24.6.21 - Начало сбора ресурсов
2026-06-25 13:49:09.397159 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1
2026-06-25 13:49:09.409084 - INFO - Сервер 172.24.6.21 - SSO токен успешно валидирован iLO
2026-06-25 13:49:09.409916 - INFO - Сервер 172.24.6.21 - Начало сбора ресурсов
2026-06-25 13:49:09.410261 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1
2026-06-25 13:49:09.424117 - INFO - Сервер 172.24.6.21 - SSO токен успешно валидирован iLO
2026-06-25 13:49:09.424987 - INFO - Сервер 172.24.6.21 - Начало сбора ресурсов
2026-06-25 13:49:09.425351 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1
2026-06-25 13:49:09.447350 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1
2026-06-25 13:49:09.449602 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis
2026-06-25 13:49:09.471745 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1
2026-06-25 13:49:09.472443 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis
2026-06-25 13:49:09.493997 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1
2026-06-25 13:49:09.494631 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis
2026-06-25 13:49:09.498374 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis
2026-06-25 13:49:09.498815 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Managers
2026-06-25 13:49:09.501976 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis
2026-06-25 13:49:09.502535 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Managers
2026-06-25 13:49:09.517463 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis
2026-06-25 13:49:09.517942 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Managers
2026-06-25 13:49:09.521513 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Managers
2026-06-25 13:49:09.521989 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems
2026-06-25 13:49:09.530741 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Managers
2026-06-25 13:49:09.531320 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems
2026-06-25 13:49:09.537084 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Managers
2026-06-25 13:49:09.537605 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems
2026-06-25 13:49:09.544881 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems
