2026-06-25 13:47:26.878528 - INFO - Сервер 172.24.6.11 - Создание клиента Redfish для https://172.24.6.11 (использование SSO)
2026-06-25 13:47:27.309396 - INFO - Сервер 172.24.6.11 - Клиент успешно создан
2026-06-25 13:47:27.309833 - INFO - Сервер 172.24.6.11 - Проверка валидности SSO токена в iLO...
2026-06-25 13:47:27.329429 - INFO - Сервер 172.24.6.11 - SSO токен успешно валидирован iLO
2026-06-25 13:47:27.330476 - INFO - Сервер 172.24.6.11 - Начало сбора ресурсов
2026-06-25 13:47:27.330847 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1
2026-06-25 13:47:27.359020 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1
2026-06-25 13:47:27.359672 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis
2026-06-25 13:47:27.370652 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis
2026-06-25 13:47:27.371205 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers
2026-06-25 13:47:27.381540 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers
2026-06-25 13:47:27.382106 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems
2026-06-25 13:47:27.393319 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems
2026-06-25 13:47:27.393842 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1
2026-06-25 13:47:27.410480 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1
2026-06-25 13:47:27.411102 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/enclosurechassis
2026-06-25 13:47:27.422213 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/enclosurechassis
2026-06-25 13:47:27.422625 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers/1
2026-06-25 13:47:27.467270 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers/1
2026-06-25 13:47:27.468092 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1
2026-06-25 13:47:27.531913 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1
2026-06-25 13:47:27.532837 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/EnclosureChassis
2026-06-25 13:47:27.616571 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/EnclosureChassis
2026-06-25 13:47:27.618087 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/NetworkAdapters
2026-06-25 13:47:27.633811 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/NetworkAdapters
2026-06-25 13:47:27.634476 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/BaseFrus
2026-06-25 13:47:27.644563 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/BaseFrus
2026-06-25 13:47:27.645167 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/MezzFrus
2026-06-25 13:47:27.660273 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/MezzFrus
2026-06-25 13:47:27.660810 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Devices
2026-06-25 13:47:27.672494 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/Devices
2026-06-25 13:47:27.673117 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/PCIeDevices
2026-06-25 13:47:27.685712 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/PCIeDevices
2026-06-25 13:47:27.686337 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/PCIeSlots
2026-06-25 13:47:27.696356 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/PCIeSlots
2026-06-25 13:47:27.696864 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Power
2026-06-25 13:47:27.743201 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/Power
2026-06-25 13:47:27.743789 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Thermal
2026-06-25 13:47:27.780065 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/Thermal
2026-06-25 13:47:27.781387 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers/1/EthernetInterfaces
2026-06-25 13:47:27.791787 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers/1/EthernetInterfaces
2026-06-25 13:47:27.792350 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers/1/HostInterfaces
2026-06-25 13:47:27.802331 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers/1/HostInterfaces
2026-06-25 13:47:27.802812 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers/1/NetworkProtocol
2026-06-25 13:47:27.945417 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers/1/NetworkProtocol
2026-06-25 13:47:27.945768 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers/1/EmbeddedMedia
2026-06-25 13:47:27.961662 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers/1/EmbeddedMedia
2026-06-25 13:47:27.962233 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers/1/ActiveHealthSystem
2026-06-25 13:47:27.975114 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers/1/ActiveHealthSystem
2026-06-25 13:47:27.975385 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers/1/SerialInterfaces
2026-06-25 13:47:27.984770 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers/1/SerialInterfaces
2026-06-25 13:47:27.985148 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1/BootOptions
2026-06-25 13:47:28.008196 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1/BootOptions
2026-06-25 13:47:28.008465 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1/EthernetInterfaces
2026-06-25 13:47:28.020795 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1/EthernetInterfaces
2026-06-25 13:47:28.021061 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1/LogServices
2026-06-25 13:47:28.048717 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1/LogServices
2026-06-25 13:47:28.052020 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1/Memory
2026-06-25 13:47:28.064665 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1/Memory
2026-06-25 13:47:28.065105 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1/MemoryDomains
2026-06-25 13:47:28.074453 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1/MemoryDomains
2026-06-25 13:47:28.074787 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1/NetworkInterfaces
2026-06-25 13:47:28.085747 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1/NetworkInterfaces
2026-06-25 13:47:28.086368 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1/PCISlots
2026-06-25 13:47:28.095693 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1/PCISlots
2026-06-25 13:47:28.096275 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1/BaseNetworkAdapters
2026-06-25 13:47:28.106135 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1/BaseNetworkAdapters
2026-06-25 13:47:28.106584 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1/SmartStorage
2026-06-25 13:47:28.115868 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1/SmartStorage
2026-06-25 13:47:28.116310 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1/USBPorts
2026-06-25 13:47:28.129452 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1/USBPorts
2026-06-25 13:47:28.130149 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1/USBDevices
2026-06-25 13:47:28.141821 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1/USBDevices
2026-06-25 13:47:28.142579 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1/WorkloadPerformanceAdvisor
2026-06-25 13:47:28.153755 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1/WorkloadPerformanceAdvisor
2026-06-25 13:47:28.154254 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1/SecureEraseReportService
2026-06-25 13:47:28.169180 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1/SecureEraseReportService
2026-06-25 13:47:28.170239 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1/PCIDevices
2026-06-25 13:47:28.185132 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1/PCIDevices
2026-06-25 13:47:28.186527 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1/Processors
2026-06-25 13:47:28.204069 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1/Processors
2026-06-25 13:47:28.204875 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1/SecureBoot
2026-06-25 13:47:28.215043 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1/SecureBoot
2026-06-25 13:47:28.215655 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1/Storage
2026-06-25 13:47:28.572148 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1/Storage
2026-06-25 13:47:28.572620 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/BaseFrus/1
2026-06-25 13:47:28.585715 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/BaseFrus/1
2026-06-25 13:47:28.586015 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/MezzFrus/1
2026-06-25 13:47:28.598481 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/MezzFrus/1
2026-06-25 13:47:28.598871 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Devices/1
2026-06-25 13:47:28.609664 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/Devices/1
2026-06-25 13:47:28.610126 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Devices/2
2026-06-25 13:47:28.619935 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/Devices/2
2026-06-25 13:47:28.620291 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Devices/3
2026-06-25 13:47:28.630081 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/Devices/3
